id,label,is_bot
733980060726792192,human,0
1103027319478931456,human,0
27260086,human,0
2425151,human,0
530916347,human,0
407340870,human,0
186983529,human,0
259002100,bot,1
2504903922,human,0
1954619760,human,0
107213461,bot,1
13784642,human,0
895031094088806402,human,0
38164846,human,0
1118569303584968705,human,0
49305802,bot,1
217064621,human,0
575565118,human,0
1052680893255553024,bot,1
434423224,human,0
912265488,human,0
201909764,human,0
710775945158909952,human,0
66951177,human,0
20793816,human,0
992483910222262286,human,0
3051714377,human,0
1292511821015011328,human,0
149119043,human,0
890841483145867264,human,0
26007890,bot,1
815275309750591488,bot,1
48829047,bot,1
2298929849,human,0
730709048954249216,human,0
2163907389,human,0
1417251,human,0
713853533632729088,human,0
38212424,bot,1
2697945751,human,0
726163383708487680,bot,1
119491006,human,0
2821727143,human,0
215610793,bot,1
1252563389504786435,human,0
305910597,bot,1
16468227,human,0
567468535,human,0
3431530511,human,0
775135464982405120,human,0
183649547,human,0
856129962218332161,human,0
472017924,bot,1
39000115,human,0
269891467,human,0
865676744,human,0
42562446,human,0
2245775322,human,0
1294286713636831233,human,0
818656029294690308,human,0
105934142,human,0
20838343,human,0
926345425,human,0
91942071,human,0
512700138,human,0
1107497784377114626,bot,1
21795016,bot,1
26792546,bot,1
99471291,human,0
1298386774683680768,human,0
107436986,human,0
971723743,bot,1
57948579,human,0
512393797,human,0
818996878951862273,human,0
1203159507108450306,bot,1
52146755,human,0
193095044,human,0
822249935454146560,human,0
1256368129535545344,human,0
973333615412154368,bot,1
2848154189,bot,1
15254807,human,0
4733080641,human,0
765926406622699520,human,0
147205029,bot,1
300868924,human,0
775750307091451904,bot,1
1283054869121835010,human,0
108342144,human,0
826502328572317696,human,0
303062677,human,0
299802277,human,0
30261067,human,0
1298471485510692865,human,0
1183016177284583425,human,0
193494089,human,0
214620546,human,0
16386704,human,0
4199648488,human,0
1249889062233747456,human,0
2424569809,human,0
2333235974,bot,1
1899561499,human,0
2306423824,bot,1
611362961,human,0
209154113,human,0
513338966,human,0
1298401483990487042,human,0
219248343,human,0
19426562,human,0
53097913,human,0
724857264,human,0
2440188996,human,0
1018968529544986624,bot,1
282545479,human,0
530842489,human,0
66369206,human,0
15484511,human,0
326427590,human,0
22508473,human,0
1291360856308097024,human,0
75069067,human,0
1291382005150744576,human,0
41998163,bot,1
1283430098318884864,human,0
105442995,human,0
58675816,human,0
38507958,human,0
913972263355023360,bot,1
1298651549342797827,human,0
25330246,human,0
1080865917377097728,human,0
428377986,human,0
48938064,bot,1
774187063,human,0
380468726,human,0
142523508,human,0
309220197,human,0
404802175,human,0
17856201,bot,1
28283145,human,0
16439471,human,0
69478952,bot,1
146039230,human,0
1202126714219794433,bot,1
2735037088,human,0
34430522,human,0
198975780,human,0
18467507,bot,1
137515732,human,0
1129118395,human,0
32660559,human,0
1017100433028976640,human,0
115298732,human,0
2558684335,human,0
1059325677202157568,human,0
266299139,human,0
927325603589652482,bot,1
1106262387106238464,human,0
14364779,human,0
2217998766,human,0
2229469195,bot,1
1194582374,human,0
3615920477,human,0
2157651508,human,0
1214847550265671680,human,0
1694444598,human,0
2302219266,bot,1
20810902,human,0
16254828,human,0
24719760,human,0
44452312,human,0
1253749753839525888,human,0
2617066206,human,0
1224101197621219328,human,0
2455740283,human,0
64798737,human,0
1031452291092684800,human,0
1877590868,bot,1
26684668,human,0
189206060,human,0
1133010651968729089,human,0
16787084,human,0
836968183680614400,human,0
54951973,human,0
1281322726406254593,human,0
226944459,human,0
1247071231813304327,bot,1
39275966,human,0
63399487,bot,1
4898091,human,0
21041321,bot,1
148248527,human,0
720135190916366336,human,0
1297132458106814466,human,0
1002500058,bot,1
49883265,human,0
78100510,bot,1
18863815,human,0
